train_id,route_id,station_name,station_order,lat,lon,distance,train_type,station_name_normalized
IC_1539,73,SAVONA,1,44.306892,8.470259,0,intercity,SAVONA
IC_1539,73,GENOVA P.PRINCIPE,2,44.417784,8.9207,40.5,intercity,GENOVA P.PRINCIPE
IC_1539,73,VOGHERA,3,44.9978,9.007942,64.82,intercity,VOGHERA
IC_1539,73,PAVIA,4,45.188843,9.144674,23.8,intercity,PAVIA
IC_1539,73,MILANO CENTRALE,5,45.486347,9.204528,33.4,intercity,MILANO CENTRALE
REG_33923,931,BOLOGNA C.LE,1,44.50626,11.342267,0,regional,BOLOGNA C.LE
REG_33923,931,BOLOGNA SAN VITALE,2,44.535566,11.631984,2.71,regional,BOLOGNA SAN VITALE
REG_33923,931,BOLOGNA MAZZINI,3,44.482284,11.376271,1.5,regional,BOLOGNA MAZZINI
REG_33923,931,BOLOGNA S.RUFFILLO,4,44.462657,11.372967,2.2,regional,BOLOGNA S.RUFFILLO
REG_33923,931,RASTIGNANO,5,44.443592,11.357617,2.49,regional,RASTIGNANO
REG_33923,931,PIANORO,6,44.380589,11.340675,7.3,regional,PIANORO
EC_89,15,BRENNERO,1,47.004117,11.505711,0,eurocity,BRENNERO
EC_89,15,FORTEZZA,2,46.788841,11.609922,40.2,eurocity,FORTEZZA
EC_89,15,BRESSANONE,3,46.710088,11.649677,10.2,eurocity,BRESSANONE
EC_89,15,BOLZANO,4,46.496346,11.358556,38.1,eurocity,BOLZANO
EC_89,15,TRENTO,5,46.072414,11.118941,55.4,eurocity,TRENTO
EC_89,15,ROVERETO,6,45.890985,11.033518,23.6,eurocity,ROVERETO
EC_89,15,VERONA PORTA NUOVA,7,45.428603,10.982377,51.8,eurocity,VERONA PORTA NUOVA
REG_21514,694,CALTANISSETTA XIRBI,1,37.536296,14.056902,0,regional,CALTANISSETTA XIRBI
REG_21514,694,VILLAROSA,2,37.567205,14.200464,15.286,regional,VILLAROSA
REG_21514,694,ENNA,3,37.581134,14.289579,10.893,regional,ENNA
REG_21514,694,LEONFORTE-PIRATO,4,37.606305,14.376063,11.11,regional,LEONFORTE-PIRATO
REG_21514,694,DITTAINO,5,37.564605,14.462429,9.47,regional,DITTAINO
EC_86,14,VERONA PORTA NUOVA,1,45.428603,10.982377,0,eurocity,VERONA PORTA NUOVA
EC_86,14,ROVERETO,2,45.890985,11.033518,51.8,eurocity,ROVERETO
EC_86,14,TRENTO,3,46.072414,11.118941,23.6,eurocity,TRENTO
EC_86,14,BOLZANO,4,46.496346,11.358556,55.4,eurocity,BOLZANO
EC_86,14,BRESSANONE,5,46.710088,11.649677,38.1,eurocity,BRESSANONE
EC_86,14,FORTEZZA,6,46.788841,11.609922,10.2,eurocity,FORTEZZA
EC_86,14,BRENNERO,7,47.004117,11.505711,40.2,eurocity,BRENNERO
REG_21092,658,NAPOLI CENTRALE,1,40.852933,14.272908,0,regional,NAPOLI CENTRALE
REG_21092,658,AVERSA,2,40.973323,14.218578,19.22,regional,AVERSA
REG_21092,658,VILLA LITERNO,3,41.004956,14.06753,14.33,regional,VILLA LITERNO
REG_21092,658,FALCIANO MONDRAGONE CAR.,4,41.123525,13.971792,15.516,regional,FALCIANO MONDRAGONE CAR.
REG_21092,658,SESSA AURUNCA R.,5,41.1955,13.8761,11.376,regional,SESSA AURUNCA R.
REG_21092,658,MINTURNO,6,41.257621,13.720664,14.978,regional,MINTURNO
REG_21092,658,FORMIA-GAETA,7,41.258773,13.605996,10.055,regional,FORMIA-GAETA
REG_21092,658,ITRI,8,41.271328,13.545549,5.921,regional,ITRI
REG_21092,658,FONDI - SPERLONGA,9,41.337663,13.424893,12.886,regional,FONDI - SPERLONGA
REG_21092,658,MONTE S.BIAGIO,10,41.345967,13.347037,6.715,regional,MONTE S.BIAGIO
REG_21092,658,PRIVERNO FOSSANOVA,11,41.421853,13.186406,17.51,regional,PRIVERNO FOSSANOVA
REG_21092,658,SEZZE ROMANO,12,41.495542,13.038452,15.17,regional,SEZZE ROMANO
REG_21092,658,LATINA,13,41.538372,12.945888,9.203,regional,LATINA
REG_21092,658,CISTERNA DI LATINA,14,41.586511,12.827538,11.318,regional,CISTERNA DI LATINA
REG_21092,658,CAMPOLEONE,15,41.642396,12.648341,16.28,regional,CAMPOLEONE
REG_21092,658,ROMA TERMINI,16,41.900636,12.502026,33.5,regional,ROMA TERMINI
REG_5918,1112,OLBIA,1,40.924595,9.498293,0,regional,OLBIA
REG_5918,1112,RUDALZA,2,40.994082,9.531214,10.332,regional,RUDALZA
REG_5918,1112,MARINELLA,3,40.999129,9.55362,2.195,regional,MARINELLA
REG_5918,1112,GOLFO ARANCI,4,40.997261,9.62471,8.737,regional,GOLFO ARANCI
REG_4757,1034,MACOMER,1,40.267899,8.772279,0,regional,MACOMER
REG_4757,1034,ABBASANTA,2,40.128801,8.817733,26.663,regional,ABBASANTA
REG_4757,1034,ORISTANO,3,39.902033,8.603974,36.044,regional,ORISTANO
REG_4757,1034,SAN GAVINO,4,39.546206,8.788017,43.409,regional,SAN GAVINO
REG_4757,1034,ELMAS AEROPORTO,5,39.257361,9.063553,43.399,regional,ELMAS AEROPORTO
REG_4757,1034,CAGLIARI,6,39.216078,9.107984,6.595,regional,CAGLIARI
REG_18886,436,BORGO S. LORENZO,1,43.959822,11.380422,0,regional,BORGO S. LORENZO
REG_18886,436,S.PIERO A SIEVE,2,43.958317,11.322742,4.762,regional,S.PIERO A SIEVE
REG_18886,436,VAGLIA,3,43.924442,11.284576,7.118,regional,VAGLIA
REG_18886,436,FIESOLE CALDINE,4,43.833697,11.266047,13.985,regional,FIESOLE CALDINE
REG_18886,436,BINARIO S.MARCO VECCHIO,5,43.790336,11.267403,4.82,regional,BINARIO S.MARCO VECCHIO
REG_18886,436,FIRENZE S.M.N.,6,43.776893,11.247373,2.2,regional,FIRENZE S.M.N.
IC_704,86,BARI CENTRALE,1,41.11774,16.869601,0,intercity,BARI CENTRALE
IC_704,86,MOLFETTA,2,41.196008,16.596793,24.719,intercity,MOLFETTA
IC_704,86,BISCEGLIE,3,41.235445,16.499484,9.341,intercity,BISCEGLIE
IC_704,86,TRANI,4,41.272693,16.417646,8.021,intercity,TRANI
IC_704,86,BARLETTA,5,41.315227,16.278867,12.594,intercity,BARLETTA
IC_704,86,FOGGIA,6,41.466,15.555816,67.892,intercity,FOGGIA
IC_704,86,ARIANO IRPINO,7,41.181883,15.117508,62.65,intercity,ARIANO IRPINO
IC_704,86,BENEVENTO,8,41.141901,14.769998,38.2,intercity,BENEVENTO
IC_704,86,S.LORENZO MAGGIORE,9,41.219748,14.648419,13.37,intercity,S.LORENZO MAGGIORE
IC_704,86,SOLOPACA,10,41.210521,14.571413,6.54,intercity,SOLOPACA
IC_704,86,TELESE CERRETO,11,41.211709,14.526165,4.14,intercity,TELESE CERRETO
IC_704,86,CASERTA,12,41.068655,14.328457,22.98,intercity,CASERTA
IC_704,86,VAIRANO,13,41.317446,14.104022,33.44,intercity,VAIRANO
IC_704,86,CASSINO,14,41.484306,13.832125,29.33,intercity,CASSINO
IC_704,86,FROSINONE,15,41.625333,13.328728,52.51,intercity,FROSINONE
IC_704,86,ROMA TERMINI,16,41.900636,12.502026,85.479,intercity,ROMA TERMINI
