train_id,route_id,station_name,station_order,lat,lon,distance
IC_1539,73,SAVONA,1,44.306892,8.470259,0
IC_1539,73,GENOVA P.PRINCIPE,2,44.417784,8.9207,40.5
IC_1539,73,VOGHERA,3,44.9978,9.007942,64.82
IC_1539,73,PAVIA,4,45.188843,9.144674,23.8
IC_1539,73,MILANO CENTRALE,5,45.486347,9.204528,33.4
REG_33923,931,BOLOGNA C.LE,1,44.50626,11.342267,0
REG_33923,931,BOLOGNA SAN VITALE,2,44.535566,11.631984,2.71
REG_33923,931,BOLOGNA MAZZINI,3,44.482284,11.376271,1.5
REG_33923,931,BOLOGNA S.RUFFILLO,4,44.462657,11.372967,2.2
REG_33923,931,RASTIGNANO,5,44.443592,11.357617,2.49
REG_33923,931,PIANORO,6,44.380589,11.340675,7.3
EC_89,15,BRENNERO,1,47.004117,11.505711,0
EC_89,15,FORTEZZA,2,46.788841,11.609922,40.2
EC_89,15,BRESSANONE,3,46.710088,11.649677,10.2
EC_89,15,BOLZANO,4,46.496346,11.358556,38.1
EC_89,15,TRENTO,5,46.072414,11.118941,55.4
EC_89,15,ROVERETO,6,45.890985,11.033518,23.6
EC_89,15,VERONA PORTA NUOVA,7,45.428603,10.982377,51.8
REG_21514,694,CALTANISSETTA XIRBI,1,37.536296,14.056902,0
REG_21514,694,VILLAROSA,2,37.567205,14.200464,15.286
REG_21514,694,ENNA,3,37.581134,14.289579,10.893
REG_21514,694,LEONFORTE-PIRATO,4,37.606305,14.376063,11.11
REG_21514,694,DITTAINO,5,37.564605,14.462429,9.47
EC_86,14,VERONA PORTA NUOVA,1,45.428603,10.982377,0
EC_86,14,ROVERETO,2,45.890985,11.033518,51.8
EC_86,14,TRENTO,3,46.072414,11.118941,23.6
EC_86,14,BOLZANO,4,46.496346,11.358556,55.4
EC_86,14,BRESSANONE,5,46.710088,11.649677,38.1
EC_86,14,FORTEZZA,6,46.788841,11.609922,10.2
EC_86,14,BRENNERO,7,47.004117,11.505711,40.2
REG_21092,658,NAPOLI CENTRALE,1,40.852933,14.272908,0
REG_21092,658,AVERSA,2,40.973323,14.218578,19.22
